"No.","Time","Source","Destination","Protocol","Length","Info","TimeDiff","SPort","DPort"
"2154","308.704212851","PcsCompu_bd:40:f6","Broadcast","ARP","42","Who has 192.168.0.251? Tell 192.168.0.218","0.032204304","",""
"2155","308.704232644","PcsCompu_bd:40:f6","Broadcast","ARP","42","Who has 192.168.0.167? Tell 192.168.0.218","0.000019793","",""
"2156","309.010561823","DESKTOP-GSL42P0.local","192.168.0.255","UDP","305","54915  >  54915 Len=263","0.306329179","54915","54915"
"2157","309.717976976","192.168.0.39","192.168.0.218","TCP","60","7724  >  80 [SYN] Seq=0 Win=8192 Len=0","0.707415153","7724","80"
"2158","309.717997248","PcsCompu_bd:40:f6","Broadcast","ARP","42","Who has 192.168.0.39? Tell 192.168.0.218","0.000020272","",""
"2159","309.728041659","PcsCompu_bd:40:f6","Broadcast","ARP","42","Who has 192.168.0.251? Tell 192.168.0.218","0.010044411","",""
"2160","310.009010901","DESKTOP-GSL42P0.local","192.168.0.255","UDP","305","54915  >  54915 Len=263","0.280969242","54915","54915"
"2161","310.719637495","PcsCompu_bd:40:f6","Broadcast","ARP","42","Who has 192.168.0.39? Tell 192.168.0.218","0.710626594","",""
"2162","311.012248589","DESKTOP-GSL42P0.local","192.168.0.255","UDP","305","54915  >  54915 Len=263","0.292611094","54915","54915"
"2163","311.743428768","PcsCompu_bd:40:f6","Broadcast","ARP","42","Who has 192.168.0.39? Tell 192.168.0.218","0.731180179","",""
"2164","311.757750098","192.168.0.111","192.168.0.218","UDP","60","12605  >  80 Len=0","0.014321330","12605","80"
"2165","311.757766873","PcsCompu_bd:40:f6","Broadcast","ARP","42","Who has 192.168.0.111? Tell 192.168.0.218","0.000016775","",""
"2166","312.009693224","DESKTOP-GSL42P0.local","192.168.0.255","UDP","305","54915  >  54915 Len=263","0.251926351","54915","54915"
"2167","312.768194758","PcsCompu_bd:40:f6","Broadcast","ARP","42","Who has 192.168.0.111? Tell 192.168.0.218","0.758501534","",""
"2168","312.797064106","192.168.0.110","192.168.0.218","TCP","60","28569  >  80 [SYN] Seq=0 Win=8192 Len=0","0.028869348","28569","80"
"2169","312.797078506","PcsCompu_bd:40:f6","Broadcast","ARP","42","Who has 192.168.0.110? Tell 192.168.0.218","0.000014400","",""
"2170","313.012980084","DESKTOP-GSL42P0.local","192.168.0.255","UDP","305","54915  >  54915 Len=263","0.215901578","54915","54915"
"2171","313.791998171","PcsCompu_bd:40:f6","Broadcast","ARP","42","Who has 192.168.0.111? Tell 192.168.0.218","0.779018087","",""
"2172","313.824205994","PcsCompu_bd:40:f6","Broadcast","ARP","42","Who has 192.168.0.110? Tell 192.168.0.218","0.032207823","",""
"2173","313.835659712","192.168.0.211","192.168.0.218","UDP","60","39048  >  80 Len=0","0.011453718","39048","80"
"2174","313.835674164","PcsCompu_bd:40:f6","Broadcast","ARP","42","Who has 192.168.0.211? Tell 192.168.0.218","0.000014452","",""
"2175","314.008521462","DESKTOP-GSL42P0.local","192.168.0.255","UDP","305","54915  >  54915 Len=263","0.172847298","54915","54915"
"2176","314.186569180","a2:9c:aa:76:69:49","Broadcast","XID","60","Basic Format; Type 1 LLC (Class I LLC); Window Size 1","0.178047718","",""
"2177","314.186569322","D680.local","Broadcast","XID","60","Basic Format; Type 1 LLC (Class I LLC); Window Size 1","0.000000142","",""
"2178","314.186569340","f6:c7:24:08:96:ca","Broadcast","XID","60","Basic Format; Type 1 LLC (Class I LLC); Window Size 1","0.000000018","",""
"2179","314.186569352","SamsungE_c9:0b:80","Broadcast","XID","60","Basic Format; Type 1 LLC (Class I LLC); Window Size 1","0.000000012","",""
"2180","314.186569365","Arcadyan_3e:93:34","Broadcast","XID","60","Basic Format; Type 1 LLC (Class I LLC); Window Size 1","0.000000013","",""
"2181","314.186569378","SamsungE_d0:f5:75","Broadcast","XID","60","Basic Format; Type 1 LLC (Class I LLC); Window Size 1","0.000000013","",""
"2182","314.479227297","192.168.0.185","192.168.0.218","ICMP","60","Echo (ping) request  id=0xc628, seq=0/0, ttl=64 (reply in 2185)","0.292657919","",""
"2183","314.479242628","PcsCompu_bd:40:f6","Broadcast","ARP","42","Who has 192.168.0.185? Tell 192.168.0.218","0.000015331","",""
"2184","314.479352585","PcsCompu_73:4a:8f","PcsCompu_bd:40:f6","ARP","60","192.168.0.185 is at 08:00:27:73:4a:8f","0.000109957","",""
"2185","314.479356478","192.168.0.218","192.168.0.185","ICMP","42","Echo (ping) reply    id=0xc628, seq=0/0, ttl=64 (request in 2182)","0.000003893","",""
"2186","314.579683558","192.168.0.185","192.168.0.218","ICMP","60","Echo (ping) request  id=0xc628, seq=256/1, ttl=64 (reply in 2187)","0.100327080","",""
"2187","314.579694508","192.168.0.218","192.168.0.185","ICMP","42","Echo (ping) reply    id=0xc628, seq=256/1, ttl=64 (request in 2186)","0.000010950","",""
"2188","314.680214978","192.168.0.185","192.168.0.218","ICMP","60","Echo (ping) request  id=0xc628, seq=512/2, ttl=64 (reply in 2189)","0.100520470","",""
"2189","314.680226654","192.168.0.218","192.168.0.185","ICMP","42","Echo (ping) reply    id=0xc628, seq=512/2, ttl=64 (request in 2188)","0.000011676","",""
"2190","314.780743863","192.168.0.185","192.168.0.218","ICMP","60","Echo (ping) request  id=0xc628, seq=768/3, ttl=64 (reply in 2191)","0.100517209","",""
"2191","314.780756295","192.168.0.218","192.168.0.185","ICMP","42","Echo (ping) reply    id=0xc628, seq=768/3, ttl=64 (request in 2190)","0.000012432","",""
"2192","314.848018960","PcsCompu_bd:40:f6","Broadcast","ARP","42","Who has 192.168.0.211? Tell 192.168.0.218","0.067262665","",""
"2193","314.848044895","PcsCompu_bd:40:f6","Broadcast","ARP","42","Who has 192.168.0.110? Tell 192.168.0.218","0.000025935","",""
"2194","314.883234310","192.168.0.185","192.168.0.218","ICMP","60","Echo (ping) request  id=0xc628, seq=1024/4, ttl=64 (reply in 2195)","0.035189415","",""
"2195","314.883242840","192.168.0.218","192.168.0.185","ICMP","42","Echo (ping) reply    id=0xc628, seq=1024/4, ttl=64 (request in 2194)","0.000008530","",""
"2196","314.986682113","192.168.0.185","192.168.0.218","ICMP","60","Echo (ping) request  id=0xc628, seq=1280/5, ttl=64 (reply in 2197)","0.103439273","",""
"2197","314.986692830","192.168.0.218","192.168.0.185","ICMP","42","Echo (ping) reply    id=0xc628, seq=1280/5, ttl=64 (request in 2196)","0.000010717","",""
"2198","315.012792033","DESKTOP-GSL42P0.local","192.168.0.255","UDP","305","54915  >  54915 Len=263","0.026099203","54915","54915"
"2199","315.087220403","192.168.0.185","192.168.0.218","ICMP","60","Echo (ping) request  id=0xc628, seq=1536/6, ttl=64 (reply in 2200)","0.074428370","",""
"2200","315.087231481","192.168.0.218","192.168.0.185","ICMP","42","Echo (ping) reply    id=0xc628, seq=1536/6, ttl=64 (request in 2199)","0.000011078","",""
"2201","315.190670054","192.168.0.185","192.168.0.218","ICMP","60","Echo (ping) request  id=0xc628, seq=1792/7, ttl=64 (reply in 2202)","0.103438573","",""
"2202","315.190681440","192.168.0.218","192.168.0.185","ICMP","42","Echo (ping) reply    id=0xc628, seq=1792/7, ttl=64 (request in 2201)","0.000011386","",""
"2203","315.293143513","192.168.0.185","192.168.0.218","ICMP","60","Echo (ping) request  id=0xc628, seq=2048/8, ttl=64 (reply in 2204)","0.102462073","",""
"2204","315.293154962","192.168.0.218","192.168.0.185","ICMP","42","Echo (ping) reply    id=0xc628, seq=2048/8, ttl=64 (request in 2203)","0.000011449","",""
"2205","315.394640009","192.168.0.185","192.168.0.218","ICMP","60","Echo (ping) request  id=0xc628, seq=2304/9, ttl=64 (reply in 2206)","0.101485047","",""
"2206","315.394651906","192.168.0.218","192.168.0.185","ICMP","42","Echo (ping) reply    id=0xc628, seq=2304/9, ttl=64 (request in 2205)","0.000011897","",""
"2207","315.495152538","192.168.0.185","192.168.0.218","ICMP","60","Echo (ping) request  id=0xc628, seq=2560/10, ttl=64 (reply in 2208)","0.100500632","",""
"2208","315.495161744","192.168.0.218","192.168.0.185","ICMP","42","Echo (ping) reply    id=0xc628, seq=2560/10, ttl=64 (request in 2207)","0.000009206","",""
"2209","315.598616303","192.168.0.185","192.168.0.218","ICMP","60","Echo (ping) request  id=0xc628, seq=2816/11, ttl=64 (reply in 2210)","0.103454559","",""
"2210","315.598626469","192.168.0.218","192.168.0.185","ICMP","42","Echo (ping) reply    id=0xc628, seq=2816/11, ttl=64 (request in 2209)","0.000010166","",""
"2211","315.700127736","192.168.0.185","192.168.0.218","ICMP","60","Echo (ping) request  id=0xc628, seq=3072/12, ttl=64 (reply in 2212)","0.101501267","",""
"2212","315.700139530","192.168.0.218","192.168.0.185","ICMP","42","Echo (ping) reply    id=0xc628, seq=3072/12, ttl=64 (request in 2211)","0.000011794","",""
"2213","315.800660473","192.168.0.185","192.168.0.218","ICMP","60","Echo (ping) request  id=0xc628, seq=3328/13, ttl=64 (reply in 2214)","0.100520943","",""
"2214","315.800672063","192.168.0.218","192.168.0.185","ICMP","42","Echo (ping) reply    id=0xc628, seq=3328/13, ttl=64 (request in 2213)","0.000011590","",""
"2215","315.867488104","192.168.0.21","192.168.0.218","TCP","60","13466  >  80 [SYN] Seq=0 Win=8192 Len=0","0.066816041","13466","80"
"2216","315.867502284","PcsCompu_bd:40:f6","Broadcast","ARP","42","Who has 192.168.0.21? Tell 192.168.0.218","0.000014180","",""
"2217","315.871824369","PcsCompu_bd:40:f6","Broadcast","ARP","42","Who has 192.168.0.211? Tell 192.168.0.218","0.004322085","",""
"2218","315.901179769","192.168.0.185","192.168.0.218","ICMP","60","Echo (ping) request  id=0xc628, seq=3584/14, ttl=64 (reply in 2219)","0.029355400","",""
"2219","315.901186280","192.168.0.218","192.168.0.185","ICMP","42","Echo (ping) reply    id=0xc628, seq=3584/14, ttl=64 (request in 2218)","0.000006511","",""
"2220","316.002681658","192.168.0.185","192.168.0.218","ICMP","60","Echo (ping) request  id=0xc628, seq=3840/15, ttl=64 (reply in 2221)","0.101495378","",""
"2221","316.002692456","192.168.0.218","192.168.0.185","ICMP","42","Echo (ping) reply    id=0xc628, seq=3840/15, ttl=64 (request in 2220)","0.000010798","",""
